statement,behavior,everyday,figure_of_speech,judgment,opinion,reasoning,category,elicitation
make sure the data that you're dealing with is the data that you think it is,1,1,0,0,1,0,Technology and applied sciences,aphorism
make your customers more awesome upgrade your user not your product make people better at something they want to get better at,1,1,0,1,1,1,People and self,aphorism
making the simple complicated is commonplace making the complicated simple awesomely simple that's creativity,1,0,1,1,1,1,General reference,aphorism
man has two ears and one mouth he should listen more than he talks,1,0,0,1,1,1,People and self,aphorism
man makes holy what he believes as he makes beautiful what he loves,1,1,1,1,1,1,Philosophy and thinking,aphorism
man speaks by being silent,1,0,1,1,1,1,People and self,aphorism
mandating the wearing of face masks does not infringe on our first amendment rights,1,0,0,1,1,1,Health and fitness,news media
manslaughter is a violent crime,1,1,0,1,0,0,Society and social sciences,news media
manual labor that involves little knowledge of doing a task shouldn't require a license,1,1,0,1,1,0,General reference,news media
many democrat legislators are not fit to be in congress,1,0,0,1,1,0,Religion and belief systems,campaign email
many of my friends became my enemies many enemies become friends only those who never cared either way remained constant,1,0,0,1,0,0,Philosophy and thinking,aphorism
many world religions were inspired by each other,0,0,0,0,0,0,Religion and belief systems,category response
many would be cowards if they had courage enough,1,1,1,1,1,1,Philosophy and thinking,aphorism
mapping of the globe is as we see it is inaccurate on a flat surface,0,0,0,1,0,0,Geography and places,category response
marriage is like life it is a field of battle,1,0,1,1,1,0,Philosophy and thinking,aphorism
martha would make a great legislator for the people,1,0,0,1,1,0,Society and social sciences,campaign email
marthas is in a difficult election in speaking out for conservative values,1,1,0,1,1,0,Society and social sciences,campaign email
mary ensures justice by enforcing her rights,0,0,0,1,1,0,General reference,category response
mary is unkind if she steals john's thunder,0,0,1,0,1,1,Human activities,category response
mary will be disrespectful if john shows her respect,1,1,0,0,0,1,History and events,category response
mary will be full if she eats a lot of food,0,1,0,1,0,0,General reference,category response
mary will behave immaturely and not save money for the future of john and her sister if they marry,1,0,0,0,1,0,History and events,category response
mary will feel happy if she helps john,0,0,0,0,1,1,Human activities,category response
mary would be grateful if john took her family out for dinner,0,0,0,0,0,0,Culture and the arts,category response
mary would discourage john from being a teacher,1,1,0,1,1,0,Human activities,category response
mary would feel alone if john set her apart from others,0,0,0,1,0,0,Philosophy and thinking,category response
mary would feel scared if john came near her,1,1,0,1,1,1,People and self,category response
mary would feel thankful if john ironed her clothes,0,0,0,1,0,1,General reference,category response
mary would give john a compliment if he wanted to fight her,1,1,0,1,0,1,Culture and the arts,category response
mary would make sure that both she and john would arrive safely at the destination if she gave john a ride,0,0,0,1,0,0,General reference,category response
mary would not offer to pay for john's medical bills if she broke his foot,1,1,0,1,1,0,Human activities,category response
mary would not take precautions such as wearing a mask or distancing and catch the virus if she found out her friend john had flu,0,1,0,1,1,0,People and self,category response
mary would take john to the swimming pool for help if she broke his foot,1,1,0,1,0,1,Health and fitness,category response
mary would use a tooth brush if she brushed john's teeth,0,0,0,0,1,1,General reference,category response
mary wouldn't consider it rude if john pushed her aside,1,1,1,1,1,1,People and self,category response
mary wouldn't stop and create a seriously bad situation if john brough her down,1,1,0,0,1,1,People and self,category response
masking regulations should be tailored to individual needs,0,1,1,0,1,1,People and self,news media
masks protect against covid 19,0,1,0,1,0,1,General reference,news media
math helps you with daily life,0,1,0,1,1,0,Mathematics and logic,category response
math is adding and subtracting with plenty of millions of details in between if you look closely,1,0,1,0,0,1,Mathematics and logic,category response
math is something that follows strict rules,0,1,1,1,0,0,General reference,category response
math is used in programming,0,1,0,0,0,0,Mathematics and logic,category response
math isn't logical to everyone,1,0,0,1,0,1,Mathematics and logic,category response
math problems require logic to be solved,0,0,0,1,0,0,Mathematics and logic,category response
mathematics and logic should go hand and hand they often don't,1,1,0,1,1,0,Mathematics and logic,category response
mathematics is a constant meaning that a solution to a math problem will never change,1,1,1,1,1,0,Mathematics and logic,category response
mathematics is not a spectator sport,0,0,0,0,0,0,Mathematics and logic,aphorism
mathematics is the foundation upon which all modern technology is built,1,1,0,1,0,0,Health and fitness,category response
mathematics is the language with which god has written the universe,1,1,1,1,1,1,Philosophy and thinking,aphorism
mathematics is the only common language among peoples of this planet,0,1,0,1,0,1,Mathematics and logic,category response
matter is neither created nor destroyed in a ordinary chemical reaction,0,1,0,1,1,0,Geography and places,category response
maturity comes from wisdom and not only by the passing of years,1,0,1,1,1,0,Philosophy and thinking,aphorism
may your charity increase as much as your wealth,0,0,1,0,0,1,Geography and places,aphorism
mcdonald will support the local community,1,0,0,0,0,0,History and events,campaign email
mcmath supports republican values and freedom,1,1,0,1,1,0,Society and social sciences,campaign email
media firms should not be the only ones with the ability to control what the public knows,1,0,0,0,1,1,Society and social sciences,news media
medicaid eligbility should be extended to the maximum possible number of residents,0,0,0,0,1,1,Geography and places,news media
memory is what makes us young or old,1,1,0,1,0,1,People and self,aphorism
men are born equal but they are also born different,0,1,0,1,0,0,People and self,aphorism
men are only as good as their technical development allows them to be,1,0,0,1,1,0,People and self,aphorism
men sometimes feel injured by praise because it assigns a limit to their merit few people are modest enough not to take offense that one appreciates them,1,0,1,1,1,1,General reference,aphorism
men who marry wives very much superior to themselves are not so truly husbands to their wives as they are unawares made slaves to their position,1,0,1,1,1,1,People and self,aphorism
mexico is south of the united states,0,1,0,0,0,0,Geography and places,Concept Net
migrants and their children should be treated fairly and humanly,0,1,0,0,0,1,Society and social sciences,news media
military justice is to justice what military music is to music,1,0,1,1,1,1,Society and social sciences,aphorism
milk is white,0,1,0,0,0,0,Natural and physical sciences,Concept Net
milk the cow nearby why chase the one that runs away,1,0,0,1,1,0,Philosophy and thinking,aphorism
misery is almost always the result of thinking,1,1,1,1,1,0,Philosophy and thinking,aphorism
misfortune and recited misfortune especially may be prolonged to the point where it ceases to excite pity and arouses only irritation,1,1,0,1,1,1,Philosophy and thinking,aphorism
misinformation has become a virus infecting millions of americans across the world,0,0,1,1,1,0,Human activities,news media
mitch is not focused on doing his job and is only looking out for himself,1,1,0,1,1,0,Human activities,campaign email
